Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,Central Memory and Effector Memory CD4+ T cells,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,-0.04999999999999989,0.2202863591873987,4.863459455523323e-35,0.3816724709458864,0.9237500679855754,0.24476262131933188
Fast,Central Memory and Effector Memory CD4+ T cells,Regulatory T cells,0.48333333333333334,0.0,3.112614051534927e-33,0.3816724709458864,1.4451019580649032,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,TCRγδ T-cell,0.45000000000000023,0.0,4.980182482455883e-32,0.3816724709458864,0.875733529585747,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Terminal Effector CD4+ T cells,-0.3833333333333333,0.0,0.0,0.3816724709458864,1.131099819448879,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Terminal Effector CD8+ T cells,-0.15,0.000213763745231077,0.0,0.3816724709458864,1.0528153739767316,0.00028757454515391525
Fast,Central Memory and Effector Memory CD4+ T cells,Th1/Th2-like T cells,0.6833333333333336,0.0,4.980182482455883e-32,0.3816724709458864,0.5070853226042543,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Transitional Monocytes,0.3333333333333334,0.0,1.2450456206139707e-32,0.3816724709458864,0.3602018691989214,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Transitional/activated B cells,-0.22594340036404517,1.7851068401242287e-08,7.781535128837317e-34,0.3816724709458864,1.0969764604362944,2.7463182155757362e-08
Fast,Central Memory and Effector Memory CD8+ T cells,Classical Monocytes,-0.3500000000000001,0.0,1.2450456206139707e-32,0.588977698000442,0.322539260876773,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Eosinophils,-0.2833333333333333,9.64783808399261e-13,0.0,0.588977698000442,0.8533588143356079,1.7648484299986484e-12
Fast,Central Memory and Effector Memory CD8+ T cells,Innate Lymphoid Cell Precursors,0.0,1.0,0.0,0.588977698000442,2.1510088216297443,1.0
Fast,Central Memory and Effector Memory CD8+ T cells,Low density Neutrophils,-0.4333333333333331,0.0,2.801352646381434e-32,0.588977698000442,1.2153080008256492,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,MAIT/NKT-like cells,-0.09999999999999988,0.013982835022630313,1.9453837822093293e-34,0.588977698000442,0.8509500015214381,0.01769979116788647
Fast,Central Memory and Effector Memory CD8+ T cells,Memory B cells,0.08703882797784893,0.03256420164294305,7.781535128837317e-34,0.588977698000442,4.936668335051579,0.040875566915828096
Fast,Central Memory and Effector Memory CD8+ T cells,NK cell,-0.6333333333333332,0.0,1.2450456206139707e-32,0.588977698000442,0.5405390684327066,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Naive B cells,-0.06666666666666661,0.10196126662679483,1.9453837822093293e-34,0.588977698000442,0.38561806122690506,0.1181018532356697
Fast,Central Memory and Effector Memory CD8+ T cells,Naive CD4+ T cells,0.3333333333333334,0.0,1.2450456206139707e-32,0.588977698000442,0.5118875243840818,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Naive CD8+ T cells,0.4666666666666668,0.0,2.801352646381434e-32,0.588977698000442,0.7128846559749665,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Neutrophils,-0.4666666666666668,0.0,2.801352646381434e-32,0.588977698000442,0.0877853117203214,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Non-Classical Monocytes,-0.3333333333333334,0.0,1.2450456206139707e-32,0.588977698000442,0.4851705394233283,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Plasmablast B cells,-0.18333333333333332,5.570092312945363e-06,7.781535128837317e-34,0.588977698000442,1.2120869810854338,7.88220610322457e-06
